,id1,id2,similarity,sigma
0,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order1_PDS,0.634439907402,0.1
1,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order3_PDS,0.656406173982,0.1
2,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order2_PDS,0.654743782043,0.1
3,sample_BA_n100_m3_0_order1_PDS,sample_BA_n100_m3_0_order3_PDS,0.632475398169,0.1
4,sample_BA_n100_m3_0_order1_PDS,sample_BA_n100_m3_0_order2_PDS,0.606474334251,0.1
5,sample_BA_n100_m3_0_order3_PDS,sample_BA_n100_m3_0_order2_PDS,0.644916441217,0.1
6,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order1_PDS,0.852995031573,0.4
7,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order3_PDS,0.857426538316,0.4
8,sample_BA_n100_m3_0_order0_PDS,sample_BA_n100_m3_0_order2_PDS,0.870230944926,0.4
9,sample_BA_n100_m3_0_order1_PDS,sample_BA_n100_m3_0_order3_PDS,0.839615751782,0.4
10,sample_BA_n100_m3_0_order1_PDS,sample_BA_n100_m3_0_order2_PDS,0.845718484257,0.4
11,sample_BA_n100_m3_0_order3_PDS,sample_BA_n100_m3_0_order2_PDS,0.873399378003,0.4
