,birth,death,persistence,dimH
0,0.0,1.0,1.0,0
1,0.0,2.0,2.0,0
2,0.0,3.0,3.0,0
3,0.0,4.0,4.0,0
4,0.0,5.0,5.0,0
5,0.0,6.0,6.0,0
6,0.0,7.0,7.0,0
7,0.0,8.0,8.0,0
8,0.0,9.0,9.0,0
9,0.0,10.0,10.0,0
10,0.0,11.0,11.0,0
11,0.0,12.0,12.0,0
12,0.0,13.0,13.0,0
13,0.0,14.0,14.0,0
14,0.0,15.0,15.0,0
15,0.0,16.0,16.0,0
16,0.0,17.0,17.0,0
17,0.0,18.0,18.0,0
18,0.0,19.0,19.0,0
19,0.0,20.0,20.0,0
20,0.0,21.0,21.0,0
21,0.0,22.0,22.0,0
22,0.0,23.0,23.0,0
23,0.0,24.0,24.0,0
24,0.0,25.0,25.0,0
25,0.0,26.0,26.0,0
26,0.0,27.0,27.0,0
27,0.0,28.0,28.0,0
28,0.0,29.0,29.0,0
29,0.0,30.0,30.0,0
30,0.0,31.0,31.0,0
31,0.0,32.0,32.0,0
32,0.0,34.0,34.0,0
33,0.0,35.0,35.0,0
34,0.0,36.0,36.0,0
35,0.0,37.0,37.0,0
36,0.0,38.0,38.0,0
37,0.0,39.0,39.0,0
38,0.0,40.0,40.0,0
39,0.0,41.0,41.0,0
40,0.0,42.0,42.0,0
41,0.0,43.0,43.0,0
42,0.0,44.0,44.0,0
43,0.0,45.0,45.0,0
44,0.0,46.0,46.0,0
45,0.0,47.0,47.0,0
46,0.0,48.0,48.0,0
47,0.0,49.0,49.0,0
48,0.0,50.0,50.0,0
49,0.0,53.0,53.0,0
50,0.0,54.0,54.0,0
51,0.0,55.0,55.0,0
52,0.0,56.0,56.0,0
53,0.0,57.0,57.0,0
54,0.0,58.0,58.0,0
55,0.0,59.0,59.0,0
56,0.0,60.0,60.0,0
57,0.0,61.0,61.0,0
58,0.0,62.0,62.0,0
59,0.0,63.0,63.0,0
60,0.0,64.0,64.0,0
61,0.0,65.0,65.0,0
62,0.0,67.0,67.0,0
63,0.0,68.0,68.0,0
64,0.0,69.0,69.0,0
65,0.0,70.0,70.0,0
66,0.0,71.0,71.0,0
67,0.0,72.0,72.0,0
68,0.0,78.0,78.0,0
69,0.0,82.0,82.0,0
70,0.0,83.0,83.0,0
71,0.0,86.0,86.0,0
72,0.0,87.0,87.0,0
73,0.0,89.0,89.0,0
74,0.0,90.0,90.0,0
75,0.0,94.0,94.0,0
76,0.0,95.0,95.0,0
77,0.0,97.0,97.0,0
78,0.0,101.0,101.0,0
79,0.0,102.0,102.0,0
80,0.0,107.0,107.0,0
81,0.0,109.0,109.0,0
82,0.0,110.0,110.0,0
83,0.0,113.0,113.0,0
84,0.0,114.0,114.0,0
85,0.0,118.0,118.0,0
86,0.0,119.0,119.0,0
87,0.0,120.0,120.0,0
88,0.0,129.0,129.0,0
89,0.0,131.0,131.0,0
90,0.0,135.0,135.0,0
91,0.0,136.0,136.0,0
92,0.0,138.0,138.0,0
93,0.0,140.0,140.0,0
94,0.0,151.0,151.0,0
95,0.0,162.0,162.0,0
96,0.0,185.0,185.0,0
97,0.0,238.0,238.0,0
98,0.0,246.0,246.0,0
99,0.0,292.0,292.0,0
0,291.0,292.0,1.0,1
1,289.0,292.0,3.0,1
2,288.0,292.0,4.0,1
3,286.0,292.0,6.0,1
4,284.0,292.0,8.0,1
5,283.0,292.0,9.0,1
6,278.0,292.0,14.0,1
7,277.0,292.0,15.0,1
8,275.0,292.0,17.0,1
9,274.0,292.0,18.0,1
10,273.0,292.0,19.0,1
11,271.0,292.0,21.0,1
12,266.0,292.0,26.0,1
13,261.0,292.0,31.0,1
14,259.0,292.0,33.0,1
15,257.0,292.0,35.0,1
16,255.0,270.0,15.0,1
17,254.0,292.0,38.0,1
18,253.0,292.0,39.0,1
19,251.0,292.0,41.0,1
20,250.0,292.0,42.0,1
21,245.0,292.0,47.0,1
22,243.0,292.0,49.0,1
23,242.0,292.0,50.0,1
24,241.0,292.0,51.0,1
25,240.0,290.0,50.0,1
26,239.0,292.0,53.0,1
27,237.0,292.0,55.0,1
28,236.0,292.0,56.0,1
29,235.0,292.0,57.0,1
30,234.0,292.0,58.0,1
31,233.0,292.0,59.0,1
32,232.0,292.0,60.0,1
33,230.0,292.0,62.0,1
34,225.0,292.0,67.0,1
35,222.0,292.0,70.0,1
36,221.0,292.0,71.0,1
37,219.0,292.0,73.0,1
38,218.0,292.0,74.0,1
39,216.0,292.0,76.0,1
40,214.0,292.0,78.0,1
41,213.0,292.0,79.0,1
42,212.0,292.0,80.0,1
43,211.0,292.0,81.0,1
44,210.0,292.0,82.0,1
45,209.0,292.0,83.0,1
46,208.0,270.0,62.0,1
47,204.0,292.0,88.0,1
48,203.0,292.0,89.0,1
49,202.0,292.0,90.0,1
50,201.0,292.0,91.0,1
51,200.0,292.0,92.0,1
52,199.0,264.0,65.0,1
53,198.0,292.0,94.0,1
54,197.0,292.0,95.0,1
55,196.0,292.0,96.0,1
56,195.0,292.0,97.0,1
57,194.0,244.0,50.0,1
58,193.0,292.0,99.0,1
59,192.0,292.0,100.0,1
60,190.0,292.0,102.0,1
61,189.0,292.0,103.0,1
62,186.0,292.0,106.0,1
63,184.0,258.0,74.0,1
64,183.0,292.0,109.0,1
65,181.0,292.0,111.0,1
66,180.0,220.0,40.0,1
67,178.0,244.0,66.0,1
68,177.0,292.0,115.0,1
69,176.0,292.0,116.0,1
70,175.0,292.0,117.0,1
71,174.0,292.0,118.0,1
72,172.0,292.0,120.0,1
73,171.0,292.0,121.0,1
74,170.0,292.0,122.0,1
75,169.0,292.0,123.0,1
76,168.0,292.0,124.0,1
77,167.0,292.0,125.0,1
78,166.0,292.0,126.0,1
79,165.0,292.0,127.0,1
80,164.0,292.0,128.0,1
81,163.0,292.0,129.0,1
82,161.0,292.0,131.0,1
83,160.0,292.0,132.0,1
84,159.0,292.0,133.0,1
85,158.0,292.0,134.0,1
86,157.0,292.0,135.0,1
87,156.0,292.0,136.0,1
88,155.0,292.0,137.0,1
89,154.0,292.0,138.0,1
90,153.0,224.0,71.0,1
91,152.0,292.0,140.0,1
92,150.0,292.0,142.0,1
93,149.0,292.0,143.0,1
94,148.0,224.0,76.0,1
95,146.0,292.0,146.0,1
96,145.0,292.0,147.0,1
97,144.0,292.0,148.0,1
98,143.0,292.0,149.0,1
99,142.0,292.0,150.0,1
100,141.0,188.0,47.0,1
101,137.0,292.0,155.0,1
102,134.0,263.0,129.0,1
103,133.0,292.0,159.0,1
104,132.0,292.0,160.0,1
105,130.0,292.0,162.0,1
106,128.0,292.0,164.0,1
107,127.0,292.0,165.0,1
108,126.0,292.0,166.0,1
109,125.0,292.0,167.0,1
110,124.0,292.0,168.0,1
111,123.0,292.0,169.0,1
112,122.0,220.0,98.0,1
113,117.0,292.0,175.0,1
114,116.0,292.0,176.0,1
115,111.0,292.0,181.0,1
116,108.0,292.0,184.0,1
117,106.0,292.0,186.0,1
118,105.0,292.0,187.0,1
119,104.0,292.0,188.0,1
120,103.0,292.0,189.0,1
121,100.0,292.0,192.0,1
122,99.0,292.0,193.0,1
123,98.0,292.0,194.0,1
124,96.0,292.0,196.0,1
125,93.0,292.0,199.0,1
126,91.0,292.0,201.0,1
127,88.0,292.0,204.0,1
128,85.0,292.0,207.0,1
129,84.0,292.0,208.0,1
130,81.0,292.0,211.0,1
131,80.0,292.0,212.0,1
132,79.0,292.0,213.0,1
133,77.0,292.0,215.0,1
134,76.0,292.0,216.0,1
135,75.0,292.0,217.0,1
136,74.0,292.0,218.0,1
137,73.0,292.0,219.0,1
138,66.0,292.0,226.0,1
